Date,Open,High,Low,Close,Adj Close,Volume
2021-12-09,334.410004,336.489990,332.119995,333.100006,325.915710,22214200
2021-12-10,334.980011,343.000000,334.790009,342.540009,335.152130,38095700
2021-12-13,340.679993,343.790009,339.079987,339.399994,332.079834,28899400
2021-12-14,333.220001,334.640015,324.109985,328.339996,321.258392,44438700
2021-12-15,328.609985,335.190002,324.500000,334.649994,327.432281,35381100
2021-12-16,335.709991,336.760010,323.019989,324.899994,317.892548,35034800
2021-12-17,320.880005,324.920013,317.250000,323.799988,316.816254,47750300
2021-12-20,320.049988,322.799988,317.570007,319.910004,313.010193,28326500
2021-12-21,323.290009,327.730011,319.799988,327.290009,320.230988,24740600
2021-12-22,328.299988,333.609985,325.750000,333.200012,326.013550,24831500
2021-12-23,332.750000,336.390015,332.730011,334.690002,327.471375,19617800
2021-12-27,335.459991,342.480011,335.429993,342.450012,335.064056,19947000
2021-12-28,343.149994,343.809998,340.320007,341.250000,333.889923,15661500
2021-12-29,341.299988,344.299988,339.679993,341.950012,334.574829,15042000
2021-12-30,341.910004,343.130005,338.820007,339.320007,332.001495,15994500
2021-12-31,338.510010,339.359985,335.850006,336.320007,329.066284,18000800
2022-01-03,335.350006,338.000000,329.779999,334.750000,327.530121,28865100
2022-01-04,334.829987,335.200012,326.119995,329.010010,321.913940,32674300
2022-01-05,325.859985,326.070007,315.980011,316.380005,309.556366,40054300
2022-01-06,313.149994,318.700012,311.489990,313.880005,307.110260,39646100
2022-01-07,314.149994,316.500000,310.089996,314.040009,307.266754,32720000
2022-01-10,309.489990,314.720001,304.690002,314.269989,307.491791,44289500
2022-01-11,313.380005,316.609985,309.890015,314.980011,308.186554,29386800
2022-01-12,319.670013,323.410004,317.079987,318.269989,311.405579,34372200
2022-01-13,320.470001,320.880005,304.000000,304.799988,298.226044,45366000
2022-01-14,304.250000,310.820007,303.750000,310.200012,303.509583,39846400
2022-01-18,304.070007,309.799988,301.739990,302.649994,296.122437,42333200
2022-01-19,306.290009,313.910004,302.700012,303.329987,296.787750,45933900
2022-01-20,309.070007,311.649994,301.140015,301.600006,295.095062,35380700
2022-01-21,302.690002,304.109985,295.609985,296.029999,289.645172,57984400
2022-01-24,292.200012,297.109985,276.049988,296.369995,289.977875,85731500
2022-01-25,291.519989,294.989990,285.170013,288.489990,282.267792,72848600
2022-01-26,307.989990,308.500000,293.029999,296.709991,290.310577,90428900
2022-01-27,302.660004,307.299988,297.929993,299.839996,293.373077,53481300
2022-01-28,300.230011,308.480011,294.450012,308.260010,301.611450,49743700
2022-01-31,308.950012,312.380005,306.369995,310.980011,304.272736,46444500
2022-02-01,310.410004,310.630005,305.130005,308.760010,302.100677,40950400
2022-02-02,309.630005,315.119995,308.880005,313.459991,306.699280,36636000
2022-02-03,309.489990,311.230011,299.959991,301.250000,294.752655,43730000
2022-02-04,300.209991,308.799988,299.970001,305.940002,299.341522,35096500
2022-02-07,306.170013,307.839996,299.899994,300.950012,294.459076,28533300
2022-02-08,301.250000,305.559998,299.950012,304.559998,297.991241,32421200
2022-02-09,309.869995,311.929993,307.390015,311.209991,304.497833,31284700
2022-02-10,304.040009,309.119995,300.700012,302.380005,295.858276,45386200
2022-02-11,303.190002,304.290009,294.220001,295.040009,288.676514,39175600
2022-02-14,293.769989,296.760010,291.350006,295.000000,288.637421,36359500
2022-02-15,300.010010,300.799988,297.019989,300.470001,293.989502,27058300
2022-02-16,298.369995,300.869995,293.679993,299.500000,293.646332,29982100
2022-02-17,296.359985,296.799988,290.000000,290.730011,285.047729,32461600
2022-02-18,293.049988,293.859985,286.309998,287.929993,282.302399,34264000
2022-02-22,285.000000,291.540009,284.500000,287.720001,282.096558,41736100
2022-02-23,290.179993,291.700012,280.100006,280.269989,274.792145,37811200
2022-02-24,272.510010,295.160004,271.519989,294.589996,288.832245,56989700
2022-02-25,295.140015,297.630005,291.649994,297.309998,291.499084,32546700
2022-02-28,294.309998,299.140015,293.000000,298.790009,292.950226,34627500
2022-03-01,296.399994,299.970001,292.149994,294.950012,289.185211,31217800
2022-03-02,295.359985,301.470001,293.700012,300.190002,294.322815,31873000
2022-03-03,302.890015,303.130005,294.049988,295.920013,290.136322,27314500
2022-03-04,294.290009,295.660004,287.170013,289.859985,284.194672,32356500
2022-03-07,288.529999,289.690002,278.529999,278.910004,273.458710,43157200
